,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
143,15,CR Flamengo,Fluminense FC,1,0,9,6,4,3,2,2,8,3,6,14,14,6,1,2
144,16,Fluminense FC,SE Palmeiras,1,2,17,9,6,1,2,0,5,3,14,13,13,15,0,1
145,16,Ceará SC,Mirassol FC,0,2,22,4,8,0,1,8,14,6,10,12,13,10,1,1
146,16,SC Corinthians,Cruzeiro EC,0,0,7,14,2,5,4,3,4,2,14,19,19,17,2,1
147,16,Santos FC,SC Internacional,1,2,21,11,10,6,2,6,8,2,10,16,17,11,1,1
148,16,RB Bragantino,CR Flamengo,1,2,10,14,6,5,4,1,2,3,16,10,11,18,2,3
149,16,EC Vitória,Sport Recife,2,2,26,20,9,7,7,8,6,10,16,12,12,16,1,1
150,16,EC Juventude,São Paulo FC,0,1,8,16,4,6,2,0,4,8,11,13,15,12,0,0
151,16,CR Vasco da Gama,EC Bahia,3,1,19,9,9,4,2,4,6,2,10,20,20,13,1,1
152,16,Grêmio FBPA,Botafogo FR,1,1,17,12,9,6,3,3,7,1,15,7,7,17,1,1
153,16,Atlético Mineiro,Fortaleza EC,3,3,17,12,4,6,2,5,9,6,10,15,15,10,2,1
154,17,Botafogo FR,SC Corinthians,1,1,11,12,4,4,4,2,6,2,14,18,20,14,1,1
155,17,Mirassol FC,EC Vitória,1,1,15,15,4,6,6,6,8,5,10,11,12,14,0,1
156,17,Fortaleza EC,RB Bragantino,3,1,21,10,6,3,3,5,9,5,13,16,16,13,1,2
157,17,Sport Recife,Santos FC,2,2,16,9,7,1,3,3,4,3,17,24,25,17,4,3
158,17,SE Palmeiras,Grêmio FBPA,1,0,10,5,5,1,3,2,2,3,21,19,20,21,0,1
159,17,São Paulo FC,Fluminense FC,3,1,15,7,3,3,0,5,7,3,9,12,13,11,3,0
160,17,Cruzeiro EC,Ceará SC,1,2,16,9,7,3,1,3,10,3,11,7,8,11,0,4
161,17,SC Internacional,CR Vasco da Gama,1,1,27,15,4,4,4,6,10,5,13,9,10,14,3,1
162,17,EC Bahia,EC Juventude,3,0,17,3,5,2,0,5,2,1,13,16,18,15,1,1
163,17,CR Flamengo,Atlético Mineiro,1,0,16,13,3,6,4,5,5,7,13,17,18,14,0,2
164,18,Sport Recife,EC Bahia,0,0,5,14,4,10,2,1,3,6,7,11,12,8,1,0
165,18,Mirassol FC,CR Vasco da Gama,3,2,13,11,5,3,4,1,4,4,12,11,12,14,1,0
